#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  1.09039  0.161986  0.012003 -0.000000    13.496
   0.00707  0.99317  0.00183  1.09141  0.159161  0.011830 -0.000000    13.455
   0.01871  0.98192  0.00481  1.09320  0.155443  0.011534 -0.000000    13.476
   0.03176  0.96929  0.00811  1.09524  0.151326  0.011205 -0.000000    13.505
   0.04640  0.95512  0.01175  1.09759  0.146728  0.010840 -0.000000    13.536
   0.06256  0.93944  0.01571  1.10024  0.141676  0.010440 -0.000000    13.570
   0.07989  0.92263  0.01991  1.10315  0.136277  0.010019 -0.000000    13.602
   0.09790  0.90516  0.02427  1.10626  0.130624  0.009589 -0.000000    13.623
   0.11632  0.88730  0.02879  1.10951  0.124731  0.009159 -0.000000    13.619
   0.13516  0.86905  0.03347  1.11291  0.118591  0.008731 -0.000000    13.582
   0.15438  0.85044  0.03826  1.11648  0.112243  0.008308 -0.000001    13.510
   0.17384  0.83159  0.04311  1.12019  0.105770  0.007893 -0.000001    13.400
   0.19339  0.81265  0.04795  1.12400  0.099235  0.007492 -0.000001    13.246
   0.21289  0.79376  0.05277  1.12791  0.092687  0.007109 -0.000001    13.038
   0.23226  0.77498  0.05753  1.13187  0.086165  0.006747 -0.000001    12.772
   0.25146  0.75636  0.06220  1.13588  0.079711  0.006407 -0.000001    12.441
   0.27049  0.73787  0.06675  1.13993  0.073354  0.006090 -0.000001    12.045
   0.28939  0.71951  0.07118  1.14401  0.067108  0.005797 -0.000001    11.576
   0.30816  0.70124  0.07549  1.14811  0.060994  0.005528 -0.000001    11.034
   0.32681  0.68305  0.07966  1.15222  0.055022  0.005282 -0.000001    10.417
   0.34536  0.66495  0.08368  1.15632  0.049215  0.005060 -0.000001     9.726
   0.36378  0.64693  0.08755  1.16041  0.043595  0.004861 -0.000001     8.967
   0.38208  0.62901  0.09125  1.16447  0.038180  0.004685 -0.000001     8.149
   0.40025  0.61119  0.09478  1.16849  0.033004  0.004531 -0.000001     7.283
   0.41830  0.59346  0.09812  1.17240  0.028091  0.004400 -0.000001     6.385
   0.43623  0.57580  0.10126  1.17609  0.023473  0.004291 -0.000001     5.470
   0.45406  0.55822  0.10421  1.17919  0.019182  0.004213 -0.000001     4.553
   0.47178  0.54072  0.10695  1.17966  0.015283  0.004203  0.000001     3.636
   0.48938  0.52329  0.10947  1.17681  0.011865  0.004256  0.000115     2.788
   0.50687  0.50596  0.11177  1.20051  0.009030  0.003885  0.000384     2.325
   0.52422  0.48873  0.11383  1.23853  0.006908  0.003407  0.000744     2.027
   0.54144  0.47160  0.11566  1.28460  0.005406  0.002947  0.001172     1.835
   0.55854  0.45458  0.11723  1.33308  0.004365  0.002556  0.001628     1.708
   0.57552  0.43765  0.11854  1.38038  0.003636  0.002242  0.002082     1.622
   0.59241  0.42079  0.11958  1.42506  0.003110  0.001990  0.002518     1.563
   0.60919  0.40402  0.12036  1.46699  0.002712  0.001785  0.002935     1.519
   0.62586  0.38737  0.12086  1.50611  0.002404  0.001617  0.003330     1.487
   0.64237  0.37085  0.12107  1.54320  0.002154  0.001474  0.003712     1.462
   0.65876  0.35447  0.12099  1.57761  0.001952  0.001353  0.004070     1.442
   0.67508  0.33815  0.12060  1.60902  0.001788  0.001251  0.004395     1.428
   0.69140  0.32184  0.11990  1.63730  0.001654  0.001165  0.004680     1.419
   0.70778  0.30550  0.11890  1.66452  0.001536  0.001087  0.004952     1.412
   0.72418  0.28915  0.11761  1.69186  0.001427  0.001014  0.005230     1.407
   0.74055  0.27285  0.11604  1.71899  0.001326  0.000946  0.005508     1.402
   0.75684  0.25667  0.11419  1.74692  0.001231  0.000881  0.005802     1.397
   0.77302  0.24063  0.11205  1.77393  0.001145  0.000821  0.006083     1.395
   0.78911  0.22473  0.10963  1.80159  0.001064  0.000764  0.006376     1.393
   0.80508  0.20899  0.10692  1.82911  0.000988  0.000710  0.006663     1.392
   0.82091  0.19345  0.10393  1.85793  0.000916  0.000658  0.006971     1.392
   0.83653  0.17817  0.10068  1.88780  0.000846  0.000608  0.007295     1.392
   0.85187  0.16322  0.09718  1.91928  0.000779  0.000559  0.007645     1.393
   0.86688  0.14868  0.09345  1.95208  0.000715  0.000513  0.008015     1.394
   0.88150  0.13461  0.08952  1.98822  0.000651  0.000467  0.008450     1.395
   0.89564  0.12108  0.08540  2.02618  0.000590  0.000423  0.008921     1.396
   0.90915  0.10825  0.08115  2.06631  0.000533  0.000381  0.009441     1.397
   0.92189  0.09627  0.07684  2.10706  0.000480  0.000343  0.009978     1.399
   0.93373  0.08523  0.07255  2.15091  0.000430  0.000307  0.010600     1.400
   0.94460  0.07520  0.06834  2.19519  0.000385  0.000274  0.011251     1.402
   0.95449  0.06620  0.06427  2.24105  0.000343  0.000244  0.011970     1.403
   0.96343  0.05816  0.06036  2.28708  0.000306  0.000218  0.012724     1.405
   0.97149  0.05101  0.05664  2.33419  0.000272  0.000194  0.013543     1.406
   0.97880  0.04462  0.05308  2.37850  0.000244  0.000173  0.014289     1.410
   0.98546  0.03890  0.04968  2.42783  0.000216  0.000153  0.015208     1.413
   0.99154  0.03377  0.04642  2.47587  0.000192  0.000135  0.016080     1.418
   0.99709  0.02917  0.04331  2.52523  0.000170  0.000119  0.016966     1.426
   1.00216  0.02505  0.04035  2.57635  0.000151  0.000105  0.017854     1.436
   1.00678  0.02138  0.03754  2.63316  0.000132  0.000091  0.018902     1.446
   1.01101  0.01809  0.03488  2.70397  0.000112  0.000078  0.020601     1.448
   1.01488  0.01516  0.03235  2.78664  0.000093  0.000065  0.023212     1.438
