  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    15.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.6465   0.00769   0.00330  -0.1020   0.6370   0.0222
  -9.000  -0.5311   0.00719   0.00279  -0.1032   0.6165   0.0256
  -8.000  -0.4137   0.00680   0.00238  -0.1047   0.5972   0.0275
  -7.000  -0.2953   0.00645   0.00202  -0.1063   0.5782   0.0307
  -6.000  -0.1759   0.00613   0.00171  -0.1080   0.5621   0.0356
  -5.000  -0.0559   0.00581   0.00143  -0.1099   0.5461   0.0502
  -4.000   0.0648   0.00543   0.00117  -0.1120   0.5312   0.0874
  -3.000   0.1859   0.00507   0.00097  -0.1142   0.5136   0.1496
  -2.000   0.3072   0.00474   0.00083  -0.1165   0.4925   0.2378
  -1.000   0.4297   0.00431   0.00073  -0.1193   0.4751   0.3776
   0.000   0.5503   0.00431   0.00077  -0.1213   0.4543   0.4247
   1.000   0.6698   0.00443   0.00088  -0.1230   0.4302   0.4588
   2.000   0.7880   0.00464   0.00104  -0.1246   0.4018   0.4802
   3.000   0.9026   0.00509   0.00133  -0.1255   0.3512   0.5012
   4.000   1.0073   0.00620   0.00198  -0.1249   0.2392   0.5206
   5.000   1.1099   0.00734   0.00273  -0.1239   0.1467   0.5379
   6.000   1.2131   0.00829   0.00345  -0.1230   0.0936   0.5560
   7.000   1.3113   0.00937   0.00432  -0.1213   0.0512   0.5737
   8.000   1.4043   0.01049   0.00529  -0.1188   0.0256   0.5918
   9.000   1.4963   0.01136   0.00615  -0.1161   0.0211   0.6123
  10.000   1.5632   0.01235   0.00715  -0.1087   0.0182   0.6324
  11.000   1.6234   0.01383   0.00866  -0.1013   0.0150   0.6544
  12.000   1.6692   0.01638   0.01123  -0.0931   0.0084   0.6829
  13.000   1.7135   0.01967   0.01458  -0.0863   0.0058   0.7105
  14.000   1.7596   0.02344   0.01845  -0.0811   0.0053   0.7385
  15.000   1.8007   0.02807   0.02319  -0.0767   0.0052   0.7696
  16.000   1.8369   0.03367   0.02895  -0.0731   0.0050   0.8159
  18.000   1.8874   0.04838   0.04416  -0.0681   0.0045   1.0000
  19.000   1.9067   0.05757   0.05346  -0.0676   0.0043   1.0000
  20.000   1.9194   0.06815   0.06417  -0.0682   0.0042   1.0000
