#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.84857  0.002297  0.001411  0.001436     1.628
   0.00707  0.99317  0.00183  0.90419  0.001652  0.001119  0.002217     1.476
   0.01871  0.98192  0.00481  0.92285  0.001487  0.001027  0.002467     1.448
   0.03176  0.96929  0.00811  0.93661  0.001370  0.000957  0.002656     1.432
   0.04640  0.95512  0.01175  0.94768  0.001274  0.000897  0.002813     1.420
   0.06256  0.93944  0.01571  0.95521  0.001200  0.000848  0.002921     1.415
   0.07989  0.92263  0.01991  0.96023  0.001140  0.000805  0.002992     1.415
   0.09790  0.90516  0.02427  0.96469  0.001082  0.000763  0.003052     1.417
   0.11632  0.88730  0.02879  0.97149  0.001012  0.000715  0.003156     1.415
   0.13516  0.86905  0.03347  0.98014  0.000935  0.000662  0.003300     1.411
   0.15438  0.85044  0.03826  0.98899  0.000857  0.000609  0.003458     1.407
   0.17384  0.83159  0.04311  0.99699  0.000785  0.000559  0.003600     1.406
   0.19339  0.81265  0.04795  1.00451  0.000720  0.000509  0.003704     1.413
   0.21289  0.79376  0.05277  1.01229  0.000663  0.000461  0.003705     1.438
   0.23226  0.77498  0.05753  1.01988  0.000632  0.000416  0.003389     1.517
   0.25146  0.75636  0.06220  1.02834  0.000662  0.000378  0.002394     1.750
   0.27049  0.73787  0.06675  1.04552  0.000841  0.000341  0.000746     2.468
   0.28939  0.71951  0.07118  1.06648  0.001045  0.000306  0.000093     3.412
   0.30816  0.70124  0.07549  1.07094  0.001038  0.000299  0.000078     3.475
   0.32681  0.68305  0.07966  1.07634  0.000986  0.000290  0.000102     3.401
   0.34536  0.66495  0.08368  1.08233  0.000920  0.000281  0.000150     3.278
   0.36378  0.64693  0.08755  1.08866  0.000854  0.000271  0.000209     3.153
   0.38208  0.62901  0.09125  1.09516  0.000792  0.000261  0.000278     3.037
   0.40025  0.61119  0.09478  1.10146  0.000739  0.000251  0.000348     2.943
   0.41830  0.59346  0.09812  1.10747  0.000692  0.000242  0.000421     2.862
   0.43623  0.57580  0.10126  1.11284  0.000653  0.000233  0.000487     2.802
   0.45406  0.55822  0.10421  1.11776  0.000617  0.000224  0.000554     2.749
   0.47178  0.54072  0.10695  1.12222  0.000584  0.000216  0.000625     2.701
